size,threads,real_time,user_time,system_time,total_cpu_time,total_operations,gops,elements_per_second_millions,memory_used_mb,algorithm,pi_est
400000,2,0.001918306,0.003196000,0.000000000,0.003196000,400000,0.208517,208.517306,1,openmp_dartboard,3.141570000
600000,2,0.002711166,0.004531000,0.000000000,0.004531000,600000,0.221307,221.306995,1,openmp_dartboard,3.141413333
900000,2,0.008070510,0.010754000,0.000338000,0.011092000,900000,0.111517,111.517116,1,openmp_dartboard,3.141395556
1350000,2,0.005761901,0.010876000,0.000345000,0.011221000,1350000,0.234298,234.297674,1,openmp_dartboard,3.141469630
2025000,2,0.012107709,0.021101000,0.000985000,0.022086000,2025000,0.167249,167.248816,1,openmp_dartboard,3.141574321
3037500,2,0.015585716,0.030754000,0.000000000,0.030754000,3037500,0.194890,194.889988,1,openmp_dartboard,3.141579588
4556250,2,0.023916556,0.047163000,0.000351000,0.047514000,4556250,0.190506,190.506108,1,openmp_dartboard,3.141552812
6834375,2,0.031879243,0.062458000,0.000265000,0.062723000,6834375,0.214383,214.383227,1,openmp_dartboard,3.141581783
10251562,2,0.049745305,0.098808000,0.000000000,0.098808000,10251562,0.206081,206.080996,1,openmp_dartboard,3.141574718
15377343,2,0.068188072,0.135136000,0.000351000,0.135487000,15377343,0.225514,225.513679,1,openmp_dartboard,3.141588244
23066015,2,0.098118783,0.195489000,0.000000000,0.195489000,23066015,0.235083,235.082563,1,openmp_dartboard,3.141596500
34599022,2,0.144783398,0.289087000,0.000000000,0.289087000,34599022,0.238971,238.970921,1,openmp_dartboard,3.141595158
51898533,2,0.215776773,0.431071000,0.000000000,0.431071000,51898533,0.240520,240.519553,1,openmp_dartboard,3.141590226
77847800,2,0.321523189,0.641750000,0.000491000,0.642241000,77847800,0.242122,242.121883,1,openmp_dartboard,3.141589460
116771700,2,0.477001196,0.953295000,0.000000000,0.953295000,116771700,0.244804,244.803789,1,openmp_dartboard,3.141587148
175157550,2,0.730837158,1.460760000,0.000000000,1.460760000,175157550,0.239667,239.667001,1,openmp_dartboard,3.141588861
262736325,2,1.067989879,2.133901000,0.001389000,2.135290000,262736325,0.246010,246.010126,1,openmp_dartboard,3.141587049
394104487,2,1.604319252,3.208395000,0.000000000,3.208395000,394104487,0.245652,245.652158,1,openmp_dartboard,3.141587454
591156730,2,2.403736698,4.802300000,0.000000000,4.802300000,591156730,0.245932,245.932398,1,openmp_dartboard,3.141588079
886735095,2,3.585070146,7.168836000,0.000287000,7.169123000,886735095,0.247341,247.341073,1,openmp_dartboard,3.141587746
1330102642,2,5.395307028,10.790178000,0.000000000,10.790178000,1330102642,0.246530,246.529555,1,openmp_dartboard,3.141587646
400000,2,0.001916843,0.003478000,0.000276000,0.003754000,400000,0.208676,208.676454,1,openmp_dartboard,3.141570000
600000,2,0.002767442,0.005165000,0.000000000,0.005165000,600000,0.216807,216.806712,1,openmp_dartboard,3.141400000
900000,2,0.006524062,0.012263000,0.000000000,0.012263000,900000,0.137951,137.950866,1,openmp_dartboard,3.141422222
1350000,2,0.005641894,0.010095000,0.000429000,0.010524000,1350000,0.239281,239.281348,1,openmp_dartboard,3.141481481
2025000,2,0.009187597,0.017836000,0.000000000,0.017836000,2025000,0.220406,220.405836,1,openmp_dartboard,3.141568395
3037500,2,0.019441850,0.032395000,0.000338000,0.032733000,3037500,0.156235,156.235132,1,openmp_dartboard,3.141579588
4556250,2,0.022909297,0.045007000,0.000242000,0.045249000,4556250,0.198882,198.882139,1,openmp_dartboard,3.141549300
6834375,2,0.031696443,0.062928000,0.000000000,0.062928000,6834375,0.215620,215.619620,1,openmp_dartboard,3.141582954
10251562,2,0.045300521,0.089610000,0.000000000,0.089610000,10251562,0.226301,226.301194,1,openmp_dartboard,3.141577059
15377343,2,0.067163341,0.133076000,0.000997000,0.134073000,15377343,0.228954,228.954408,1,openmp_dartboard,3.141587464
23066015,2,0.098458891,0.196359000,0.000000000,0.196359000,23066015,0.234271,234.270514,1,openmp_dartboard,3.141596327
34599022,2,0.144081547,0.287211000,0.000381000,0.287592000,34599022,0.240135,240.134998,1,openmp_dartboard,3.141594349
51898533,2,0.214078250,0.427426000,0.000000000,0.427426000,51898533,0.242428,242.427865,1,openmp_dartboard,3.141591228
77847800,2,0.320811962,0.640822000,0.000000000,0.640822000,77847800,0.242659,242.658657,1,openmp_dartboard,3.141589306
116771700,2,0.476493388,0.951875000,0.000388000,0.952263000,116771700,0.245065,245.064681,1,openmp_dartboard,3.141587251
175157550,2,0.713595342,1.426580000,0.000000000,1.426580000,175157550,0.245458,245.457810,1,openmp_dartboard,3.141588861
262736325,2,1.064588764,2.128927000,0.000000000,2.128927000,262736325,0.246796,246.796072,1,openmp_dartboard,3.141587034
394104487,2,1.603773055,3.206743000,0.000483000,3.207226000,394104487,0.245736,245.735820,1,openmp_dartboard,3.141587444
591156730,2,2.405832065,4.810132000,0.000400000,4.810532000,591156730,0.245718,245.718202,1,openmp_dartboard,3.141588059
886735095,2,3.593229094,7.186128000,0.000000000,7.186128000,886735095,0.246779,246.779449,1,openmp_dartboard,3.141587746
1330102642,2,5.416842876,10.813556000,0.000518000,10.814074000,1330102642,0.245549,245.549423,1,openmp_dartboard,3.141587625
400000,2,0.001789273,0.003056000,0.000182000,0.003238000,400000,0.223554,223.554483,1,openmp_dartboard,3.141570000
600000,2,0.002821532,0.004928000,0.000000000,0.004928000,600000,0.212650,212.650432,1,openmp_dartboard,3.141400000
900000,2,0.008642632,0.010957000,0.000469000,0.011426000,900000,0.104135,104.134944,1,openmp_dartboard,3.141426667
1350000,2,0.005674334,0.010877000,0.000000000,0.010877000,1350000,0.237913,237.913383,1,openmp_dartboard,3.141481481
2025000,2,0.010418580,0.018149000,0.000343000,0.018492000,2025000,0.194364,194.364299,1,openmp_dartboard,3.141578272
3037500,2,0.014695266,0.028977000,0.000000000,0.028977000,3037500,0.206699,206.699219,1,openmp_dartboard,3.141579588
4556250,2,0.023199618,0.045355000,0.000338000,0.045693000,4556250,0.196393,196.393320,1,openmp_dartboard,3.141554568
6834375,2,0.035440352,0.066464000,0.001974000,0.068438000,6834375,0.192842,192.841623,1,openmp_dartboard,3.141583539
10251562,2,0.048286463,0.095918000,0.000000000,0.095918000,10251562,0.212307,212.307164,1,openmp_dartboard,3.141576669
15377343,2,0.068691759,0.135988000,0.000446000,0.136434000,15377343,0.223860,223.860085,1,openmp_dartboard,3.141587204
23066015,2,0.098969098,0.197068000,0.000000000,0.197068000,23066015,0.233063,233.062799,1,openmp_dartboard,3.141594246
34599022,2,0.147128260,0.293309000,0.000000000,0.293309000,34599022,0.235162,235.162313,1,openmp_dartboard,3.141594927
51898533,2,0.215993004,0.431084000,0.000000000,0.431084000,51898533,0.240279,240.278768,1,openmp_dartboard,3.141590688
77847800,2,0.323832852,0.646971000,0.000000000,0.646971000,77847800,0.240395,240.395005,1,openmp_dartboard,3.141589563
116771700,2,0.481552802,0.962357000,0.000000000,0.962357000,116771700,0.242490,242.489919,1,openmp_dartboard,3.141587183
175157550,2,0.714024809,1.427082000,0.000000000,1.427082000,175157550,0.245310,245.310174,1,openmp_dartboard,3.141588701
262736325,2,1.063125407,2.125383000,0.000504000,2.125887000,262736325,0.247136,247.135778,1,openmp_dartboard,3.141587065
394104487,2,1.598589235,3.195704000,0.000443000,3.196147000,394104487,0.246533,246.532679,1,openmp_dartboard,3.141587424
591156730,2,2.435112279,4.850774000,0.000000000,4.850774000,591156730,0.242764,242.763644,1,openmp_dartboard,3.141588039
886735095,2,3.585598230,7.170693000,0.000000000,7.170693000,886735095,0.247305,247.304644,1,openmp_dartboard,3.141587718
1330102642,2,5.399631326,10.797913000,0.000000000,10.797913000,1330102642,0.246332,246.332122,1,openmp_dartboard,3.141587631
400000,4,0.001041147,0.001818000,0.000000000,0.001818000,400000,0.384192,384.191666,1,openmp_dartboard,3.141310000
600000,4,0.001470383,0.003453000,0.000442000,0.003895000,600000,0.408057,408.056948,1,openmp_dartboard,3.141413333
900000,4,0.004321640,0.013163000,0.000486000,0.013649000,900000,0.208254,208.254274,1,openmp_dartboard,3.141515556
1350000,4,0.005535352,0.016146000,0.000365000,0.016511000,1350000,0.243887,243.886929,1,openmp_dartboard,3.141540741
2025000,4,0.004279681,0.015666000,0.000000000,0.015666000,2025000,0.473166,473.166107,1,openmp_dartboard,3.141493333
3037500,4,0.007939889,0.030114000,0.000487000,0.030601000,3037500,0.382562,382.562023,1,openmp_dartboard,3.141613827
4556250,4,0.013821021,0.049609000,0.000265000,0.049874000,4556250,0.329661,329.660884,1,openmp_dartboard,3.141561591
6834375,4,0.021215886,0.078087000,0.000000000,0.078087000,6834375,0.322135,322.134791,1,openmp_dartboard,3.141565981
10251562,4,0.025039059,0.098872000,0.000993000,0.099865000,10251562,0.409423,409.422814,1,openmp_dartboard,3.141584473
15377343,4,0.042977757,0.167384000,0.000314000,0.167698000,15377343,0.357798,357.797709,1,openmp_dartboard,3.141592406
23066015,4,0.059244984,0.234672000,0.000448000,0.235120000,23066015,0.389333,389.332791,1,openmp_dartboard,3.141599102
34599022,4,0.084185348,0.334207000,0.000456000,0.334663000,34599022,0.410986,410.986268,1,openmp_dartboard,3.141595736
51898533,4,0.124281751,0.494343000,0.000000000,0.494343000,51898533,0.417588,417.587720,1,openmp_dartboard,3.141592075
77847800,4,0.181197218,0.724533000,0.000000000,0.724533000,77847800,0.429630,429.630217,1,openmp_dartboard,3.141588176
116771700,4,0.269452894,1.075282000,0.000477000,1.075759000,116771700,0.433366,433.365915,1,openmp_dartboard,3.141586360
175157550,4,0.406627988,1.625280000,0.000465000,1.625745000,175157550,0.430756,430.756257,1,openmp_dartboard,3.141589226
