size,threads,real_time,user_time,system_time,total_cpu_time,total_operations,gops,elements_per_second_millions,memory_used_mb,algorithm
1229,12,0.101723259,0.800671000,0.004454000,0.805125000,3711153537,36.482842,14.848531,19,openmp
1229,12,0.083341467,0.755902000,0.005582000,0.761484000,3711153537,44.529496,18.123523,19,openmp
1229,12,0.084043613,0.687666000,0.004642000,0.692308000,3711153537,44.157473,17.972109,19,openmp
1229,12,0.107704246,0.846795000,0.004935000,0.851730000,3711153537,34.456892,14.023969,19,openmp
1229,12,0.088789677,0.759118000,0.004313000,0.763431000,3711153537,41.797128,17.011448,19,openmp
1229,12,0.077808234,0.699474000,0.008391000,0.707865000,3711153537,47.696154,19.412354,19,openmp
1229,12,0.085605383,0.722157000,0.003321000,0.725478000,3711153537,43.351871,17.644229,19,openmp
1229,12,0.089330288,0.772909000,0.010015000,0.782924000,3711153537,41.544180,16.908498,19,openmp
1658,2,0.570979501,1.121367000,0.001056000,1.122423000,9112815660,15.959970,4.814471,33,openmp
1658,2,0.575277668,1.130386000,0.001906000,1.132292000,9112815660,15.840726,4.778499,33,openmp
1658,2,0.556827707,1.096563000,0.000830000,1.097393000,9112815660,16.365593,4.936830,33,openmp
1658,2,0.494203666,0.971792000,0.000131000,0.971923000,9112815660,18.439393,5.562411,33,openmp
1658,2,0.623379692,1.213510000,0.007097000,1.220607000,9112815660,14.618403,4.409775,33,openmp
1658,2,0.624263249,1.226979000,0.002070000,1.229049000,9112815660,14.597713,4.403533,33,openmp
1658,2,0.529290717,1.043655000,0.000000000,1.043655000,9112815660,17.217033,5.193675,33,openmp
1658,2,0.484774841,0.954298000,0.000000000,0.954298000,9112815660,18.798038,5.670600,33,openmp
1658,2,0.486175244,0.958659000,0.000152000,0.958811000,9112815660,18.743891,5.654266,33,openmp
1658,2,0.556864927,1.097320000,0.000000000,1.097320000,9112815660,16.364499,4.936501,33,openmp
1658,4,0.442322360,1.637971000,0.002777000,1.640748000,9112815660,20.602204,6.214843,33,openmp
1658,4,0.320716616,1.224722000,0.000731000,1.225453000,9112815660,28.413918,8.571318,33,openmp
1658,4,0.357287941,1.400336000,0.000863000,1.401199000,9112815660,25.505523,7.693974,33,openmp
1658,4,0.325680841,1.233237000,0.001624000,1.234861000,9112815660,27.980816,8.440668,33,openmp
1658,4,0.428045290,1.639169000,0.001784000,1.640953000,9112815660,21.289373,6.422134,33,openmp
1658,4,0.318043754,1.228077000,0.000973000,1.229050000,9112815660,28.652711,8.643352,33,openmp
1658,4,0.295792425,1.148862000,0.000133000,1.148995000,9112815660,30.808144,9.293558,33,openmp
1658,4,0.378314053,1.471145000,0.000812000,1.471957000,9112815660,24.087965,7.266354,33,openmp
1658,4,0.386034977,1.493176000,0.001010000,1.494186000,9112815660,23.606192,7.121023,33,openmp
1658,4,0.347279943,1.360359000,0.000020000,1.360379000,9112815660,26.240547,7.915700,33,openmp
1658,8,0.257256284,1.850205000,0.003723000,1.853928000,9112815660,35.423102,10.685702,33,openmp
1658,8,0.243950131,1.860425000,0.000559000,1.860984000,9112815660,37.355240,11.268549,33,openmp
1658,8,0.245867061,1.766391000,0.005621000,1.772012000,9112815660,37.063996,11.180692,33,openmp
1658,8,0.265042089,1.873566000,0.009371000,1.882937000,9112815660,34.382523,10.371802,33,openmp
1658,8,0.267538675,1.911439000,0.012759000,1.924198000,9112815660,34.061676,10.275015,33,openmp
1658,8,0.188298012,1.450829000,0.003604000,1.454433000,9112815660,48.395708,14.599007,33,openmp
1658,8,0.185401240,1.431898000,0.000000000,1.431898000,9112815660,49.151859,14.827107,33,openmp
1658,8,0.169509754,1.295630000,0.003026000,1.298656000,9112815660,53.759831,16.217143,33,openmp
1658,8,0.176118296,1.335815000,0.004555000,1.340370000,9112815660,51.742584,15.608623,33,openmp
1658,8,0.208498947,1.558524000,0.003613000,1.562137000,9112815660,43.706771,13.184546,33,openmp
1658,12,0.277143103,2.297376000,0.026290000,2.323666000,9112815660,32.881264,9.918933,33,openmp
1658,12,0.261344412,2.257659000,0.019723000,2.277382000,9112815660,34.868990,10.518549,33,openmp
1658,12,0.320555791,2.351980000,0.022604000,2.374584000,9112815660,28.428174,8.575618,33,openmp
1658,12,0.295926881,2.372055000,0.022642000,2.394697000,9112815660,30.794146,9.289335,33,openmp
1658,12,0.222904034,2.005527000,0.018684000,2.024211000,9112815660,40.882238,12.332500,33,openmp
1658,12,0.287520402,2.176875000,0.023396000,2.200271000,9112815660,31.694501,9.560935,33,openmp
1658,12,0.318337027,2.351405000,0.015333000,2.366738000,9112815660,28.626314,8.635389,33,openmp
1658,12,0.292509044,2.304777000,0.027037000,2.331814000,9112815660,31.153962,9.397877,33,openmp
1658,12,0.237284474,2.008472000,0.010362000,2.018834000,9112815660,38.404601,11.585098,33,openmp
1658,12,0.215574398,1.956314000,0.015231000,1.971545000,9112815660,42.272254,12.751811,33,openmp
2239,2,1.416656085,2.787928000,0.000000000,2.787928000,22443742717,15.842760,3.538700,59,openmp
2239,2,1.684970976,3.298300000,0.005657000,3.303957000,22443742717,13.319958,2.975197,59,openmp
2239,2,1.374925470,2.688441000,0.005798000,2.694239000,22443742717,16.323607,3.646104,59,openmp
2239,2,1.397623721,2.747173000,0.005756000,2.752929000,22443742717,16.058502,3.586889,59,openmp
2239,2,1.376077838,2.705499000,0.001090000,2.706589000,22443742717,16.309937,3.643050,59,openmp
2239,2,1.411904744,2.779561000,0.002783000,2.782344000,22443742717,15.896074,3.550609,59,openmp
2239,2,1.710386671,3.359455000,0.004071000,3.363526000,22443742717,13.122029,2.930987,59,openmp
2239,2,1.446479723,2.823991000,0.000520000,2.824511000,22443742717,15.516113,3.465739,59,openmp
2239,2,1.251468592,2.464728000,0.001759000,2.466487000,22443742717,17.933924,4.005791,59,openmp
2239,2,1.291809513,2.547235000,0.001063000,2.548298000,22443742717,17.373879,3.880697,59,openmp
2239,4,0.699445086,2.734794000,0.002757000,2.737551000,22443742717,32.087927,7.167283,59,openmp
2239,4,0.668762956,2.638763000,0.000000000,2.638763000,22443742717,33.560087,7.496110,59,openmp
2239,4,0.673846154,2.657217000,0.002637000,2.659854000,22443742717,33.306924,7.439563,59,openmp
2239,4,0.845642819,3.150526000,0.003764000,3.154290000,22443742717,26.540452,5.928178,59,openmp
2239,4,0.779016465,2.998453000,0.001943000,3.000396000,22443742717,28.810357,6.435193,59,openmp
2239,4,0.754395042,2.966901000,0.004090000,2.970991000,22443742717,29.750650,6.645220,59,openmp
2239,4,0.788805417,3.085379000,0.010637000,3.096016000,22443742717,28.452825,6.355333,59,openmp
2239,4,0.762654957,2.983057000,0.002722000,2.985779000,22443742717,29.428436,6.573249,59,openmp
2239,4,0.997581543,3.785552000,0.004035000,3.789587000,22443742717,22.498154,5.025274,59,openmp
2239,4,0.880020404,3.347268000,0.001292000,3.348560000,22443742717,25.503662,5.696596,59,openmp
2239,8,0.524684250,3.666805000,0.013407000,3.680212000,22443742717,42.775713,9.554548,59,openmp
2239,8,0.456070987,3.424817000,0.005886000,3.430703000,22443742717,49.211073,10.991975,59,openmp
2239,8,0.457348569,3.543493000,0.007595000,3.551088000,22443742717,49.073604,10.961270,59,openmp
2239,8,0.486273655,3.585561000,0.012561000,3.598122000,22443742717,46.154552,10.309259,59,openmp
2239,8,0.519387461,3.789860000,0.012725000,3.802585000,22443742717,43.211946,9.651987,59,openmp
2239,8,0.507565132,3.698940000,0.006227000,3.705167000,22443742717,44.218449,9.876803,59,openmp
2239,8,0.450468190,3.391742000,0.008768000,3.400510000,22443742717,49.823147,11.128690,59,openmp
2239,8,0.453530032,3.480320000,0.010782000,3.491102000,22443742717,49.486784,11.053559,59,openmp
2239,8,0.500601898,3.601110000,0.014459000,3.615569000,22443742717,44.833515,10.014187,59,openmp
2239,8,0.458984561,3.422539000,0.004086000,3.426625000,22443742717,48.898688,10.922200,59,openmp
2239,12,0.646315404,6.399407000,0.042834000,6.442241000,22443742717,34.725681,7.756462,59,openmp
2239,12,0.761570357,6.790450000,0.049752000,6.840202000,22443742717,29.470347,6.582610,59,openmp
2239,12,1.038000326,8.113797000,0.093787000,8.207584000,22443742717,21.622096,4.829595,59,openmp
2239,12,0.843625536,7.264854000,0.057166000,7.322020000,22443742717,26.603916,5.942353,59,openmp
2239,12,1.108501652,7.640329000,0.071070000,7.711399000,22443742717,20.246919,4.522430,59,openmp
2239,12,1.127291192,8.361018000,0.074559000,8.435577000,22443742717,19.909446,4.447051,59,openmp
2239,12,1.095893290,7.755341000,0.075040000,7.830381000,22443742717,20.479861,4.574461,59,openmp
2239,12,1.176061394,8.127878000,0.080127000,8.208005000,22443742717,19.083819,4.262635,59,openmp
2239,12,1.155971869,8.640608000,0.097619000,8.738227000,22443742717,19.415475,4.336715,59,openmp
2239,12,1.108073626,8.229971000,0.078585000,8.308556000,22443742717,20.254740,4.524177,59,openmp
3023,2,3.962635770,7.787334000,0.007767000,7.795101000,55242407805,13.940824,2.306174,106,openmp
3023,2,3.866156100,7.612834000,0.003020000,7.615854000,55242407805,14.288716,2.363725,106,openmp
3023,2,4.040427966,7.951629000,0.005224000,7.956853000,55242407805,13.672415,2.261773,106,openmp
3023,2,3.816055722,7.518320000,0.004100000,7.522420000,55242407805,14.476311,2.394758,106,openmp
3023,2,4.310855365,8.493391000,0.005062000,8.498453000,55242407805,12.814721,2.119888,106,openmp
3023,2,3.681378262,7.213676000,0.004885000,7.218561000,55242407805,15.005904,2.482366,106,openmp
3023,2,4.134905566,7.957919000,0.001978000,7.959897000,55242407805,13.360017,2.210094,106,openmp
3023,2,4.027023864,7.904168000,0.001100000,7.905268000,55242407805,13.717924,2.269301,106,openmp
3023,2,4.094040444,8.033720000,0.004022000,8.037742000,55242407805,13.493371,2.232154,106,openmp
3023,2,4.137598838,8.091718000,0.003981000,8.095699000,55242407805,13.351320,2.208655,106,openmp
3023,4,2.804805206,10.485489000,0.010554000,10.496043000,55242407805,19.695631,3.258169,106,openmp
3023,4,2.558069152,9.989337000,0.013629000,10.002966000,55242407805,21.595354,3.572432,106,openmp
3023,4,2.507623004,9.477039000,0.006577000,9.483616000,55242407805,22.029790,3.644299,106,openmp
3023,4,2.477182288,9.432002000,0.002927000,9.434929000,55242407805,22.300502,3.689082,106,openmp
3023,4,2.036105201,8.007046000,0.003869000,8.010915000,55242407805,27.131411,4.488240,106,openmp
3023,4,2.240906160,8.692291000,0.008291000,8.700582000,55242407805,24.651817,4.078051,106,openmp
3023,4,2.261679954,8.690996000,0.003864000,8.694860000,55242407805,24.425387,4.040593,106,openmp
3023,4,2.269257624,8.765091000,0.006919000,8.772010000,55242407805,24.343824,4.027101,106,openmp
3023,4,2.233268429,8.610949000,0.005915000,8.616864000,55242407805,24.736125,4.091998,106,openmp
3023,4,2.151846916,8.397017000,0.012049000,8.409066000,55242407805,25.672090,4.246830,106,openmp
3023,8,1.840902947,13.210394000,0.045276000,13.255670000,55242407805,30.008322,4.964156,106,openmp
3023,8,1.974103939,14.304554000,0.064800000,14.369354000,55242407805,27.983536,4.629204,106,openmp
3023,8,1.847163323,13.735919000,0.044094000,13.780013000,55242407805,29.906618,4.947331,106,openmp
3023,8,1.756864237,12.736072000,0.044229000,12.780301000,55242407805,31.443755,5.201614,106,openmp
3023,8,2.030247510,14.074673000,0.091939000,14.166612000,55242407805,27.209691,4.501190,106,openmp
3023,8,1.751571853,13.045584000,0.049682000,13.095266000,55242407805,31.538762,5.217330,106,openmp
3023,8,1.885195631,13.604988000,0.074404000,13.679392000,55242407805,29.303276,4.847523,106,openmp
3023,8,1.892803352,13.599367000,0.076793000,13.676160000,55242407805,29.185498,4.828039,106,openmp
3023,8,1.753316745,13.050356000,0.045218000,13.095574000,55242407805,31.507375,5.212138,106,openmp
3023,8,1.822825395,13.416101000,0.047098000,13.463199000,55242407805,30.305924,5.013387,106,openmp
3023,12,2.351796904,19.187683000,0.148812000,19.336495000,55242407805,23.489447,3.885765,106,openmp
3023,12,2.376129655,19.920922000,0.166227000,20.087149000,55242407805,23.248903,3.845972,106,openmp
3023,12,2.360006998,18.365495000,0.118515000,18.484010000,55242407805,23.407731,3.872247,106,openmp
3023,12,2.438831515,20.853522000,0.155121000,21.008643000,55242407805,22.651178,3.747093,106,openmp
3023,12,2.460760959,19.688103000,0.160677000,19.848780000,55242407805,22.449319,3.713700,106,openmp
3023,12,2.377921075,20.023878000,0.171564000,20.195442000,55242407805,23.231388,3.843075,106,openmp
3023,12,2.496330383,20.321085000,0.170252000,20.491337000,55242407805,22.129446,3.660785,106,openmp
3023,12,2.254691576,19.038064000,0.165243000,19.203307000,55242407805,24.501093,4.053117,106,openmp
3023,12,2.411178549,19.625431000,0.180083000,19.805514000,55242407805,22.910957,3.790067,106,openmp
3023,12,2.418881073,19.403716000,0.143902000,19.547618000,55242407805,22.838001,3.777998,106,openmp
4081,2,8.200984170,16.130437000,0.011718000,16.142155000,135917872321,16.573361,2.030800,192,openmp
4081,2,8.101161659,15.932871000,0.015659000,15.948530000,135917872321,16.777578,2.055824,192,openmp
4081,2,8.261831692,16.255039000,0.014039000,16.269078000,135917872321,16.451300,2.015844,192,openmp
